GID;Pos;Name;Team;Opponent;Home/Away;Salary;Salary Change;Points;GP;Pts/Game;Pts/G/$;Pts/G(alt);Bye week;
1131;QB;Brady, Tom;ne;buf;H;9200;100;225.52;9;25.06;2.72;19.26;4;
2930;RB;Freeman, Devonta;atl;ind;H;9100;9100;204.1;9;22.68;2.49;0;10;
1378;QB;Newton, Cam;car;was;H;8600;400;201.08;9;22.34;2.6;20.98;5;
1252;QB;Rodgers, Aaron;gb;min;A;8900;-300;195.9;9;21.77;2.45;22.12;7;
1207;QB;Palmer, Carson;ari;cin;H;8200;200;192.56;9;21.4;2.61;21.32;9;
1151;QB;Brees, Drew;no;;H;0;-8600;191.78;9;21.31;0;14.36;11;
1231;QB;Rivers, Philip;sdg;kan;H;8300;8300;190.56;9;21.17;2.55;0;10;
3474;WR;Brown, Antonio;pit;;H;0;-8700;188.4;10;18.84;0;32.9;11;
1225;QB;Manning, Eli;nyg;;H;0;-7400;187.7;10;18.77;0;21.44;11;
1403;QB;Dalton, Andy;cin;ari;A;7900;-200;183.12;9;20.35;2.58;9.88;7;
5089;WR;Jones, Julio;atl;ind;H;9100;9100;182.9;9;20.32;2.23;0;10;
1442;QB;Bortles, Blake;jac;ten;H;7500;-300;178.54;9;19.84;2.65;17.02;8;
1441;QB;Carr, Derek;oak;det;A;7700;200;176.34;9;19.59;2.54;19.28;6;
5206;WR;Hopkins, DeAndre;hou;nyj;H;8900;0;172.2;9;19.13;2.15;14.2;9;
5323;WR;Beckham Jr., Odell;nyg;;H;0;-8800;166.1;10;16.61;0;18.4;11;
1302;QB;Flacco, Joe;bal;stl;H;7600;100;159.98;9;17.78;2.34;22.34;9;
1254;QB;Smith, Alex;kan;sdg;A;6200;200;155.42;9;17.27;2.79;15.46;9;
3501;WR;Fitzgerald, Larry;ari;cin;H;7400;0;154.1;9;17.12;2.31;18;9;
1465;QB;Winston, Jameis;tam;phi;A;6800;0;153.24;9;17.03;2.5;14.86;6;
4494;TE;Gronkowski, Rob;ne;buf;H;8400;400;153.1;9;17.01;2.03;19.8;4;
1410;QB;Tannehill, Ryan;mia;dal;H;7000;-100;152.96;9;17;2.43;16.48;5;
1415;QB;Cousins, Kirk;was;car;A;6900;400;151.82;9;16.87;2.44;28.96;8;
1301;QB;Ryan, Matt;atl;ind;H;7800;7800;150.38;9;16.71;2.14;0;10;
1242;QB;Fitzpatrick, Ryan;nyj;hou;A;7400;200;149.72;9;16.64;2.25;16.72;5;
1412;QB;Wilson, Russell;sea;sfo;H;7600;0;149.22;9;16.58;2.18;17.8;9;
2793;RB;Ingram, Mark;no;;H;0;-7500;147.8;10;14.78;0;11.3;11;
2553;RB;Peterson, Adrian;min;gb;H;8900;300;147.4;9;16.38;1.84;28.6;5;
1340;QB;Stafford, Matthew;det;oak;H;7000;100;145.7;9;16.19;2.31;16.78;9;
1263;QB;Cutler, Jay;chi;den;H;7000;0;144.3;8;18.04;2.58;24.72;7;
1409;QB;Luck, Andrew;ind;atl;A;0;0;142.84;7;20.41;0;0;10;
2859;RB;Miller, Lamar;mia;dal;H;7400;200;142.5;9;15.83;2.14;18.3;5;
3826;WR;Edelman, Julian;ne;buf;H;0;-8000;142;9;15.78;0;7.3;4;
5258;WR;Robinson, Allen;jac;ten;H;7700;200;140.3;9;15.59;2.02;13.6;8;
3627;WR;Marshall, Brandon;nyj;hou;A;7900;0;135.8;9;15.09;1.91;9.8;5;
1400;QB;Taylor, Tyrod;buf;ne;A;7200;0;134.64;7;19.23;2.67;11.52;8;
4401;TE;Barnidge, Gary;cle;;H;0;-6100;132.7;10;13.27;0;15.5;11;
5255;WR;Cooks, Brandin;no;;H;0;-7200;131.9;10;13.19;0;25.4;11;
5335;WR;Landry, Jarvis;mia;dal;H;7200;200;131.16;9;14.57;2.02;15.3;5;
5341;WR;Hurns, Allen;jac;ten;H;7500;200;130.2;9;14.47;1.93;14.7;8;
2689;RB;Woodhead, Danny;sdg;kan;H;6400;6400;128.1;9;14.23;2.22;0;10;
5198;WR;Allen, Keenan;sdg;kan;H;0;0;128;8;16;0;0;10;
