Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
6;2015;1340;Stafford, Matthew;QB;det;h;chi;34.9;6900
6;2015;1231;Rivers, Philip;QB;sdg;a;gnb;28.12;7500
6;2015;1409;Luck, Andrew;QB;ind;h;nwe;27.98;8600
6;2015;1242;Fitzpatrick, Ryan;QB;nyj;h;was;26.22;6900
6;2015;1442;Bortles, Blake;QB;jac;h;hou;25.94;7300
6;2015;1336;Hoyer, Brian;QB;hou;a;jac;24.22;6700
6;2015;1131;Brady, Tom;QB;nwe;a;ind;23.48;9000
6;2015;1404;Kaepernick, Colin;QB;sfo;h;bal;22.6;7300
6;2015;1378;Newton, Cam;QB;car;a;sea;21.76;8000
6;2015;1421;Manuel, E.J.;QB;buf;h;cin;21.72;5500
6;2015;1403;Dalton, Andy;QB;cin;a;buf;21.52;7600
6;2015;1263;Cutler, Jay;QB;chi;a;det;20.32;7500
6;2015;1302;Flacco, Joe;QB;bal;a;sfo;19.72;7800
6;2015;1252;Rodgers, Aaron;QB;gnb;h;sdg;19.6;9300
6;2015;1412;Wilson, Russell;QB;sea;h;car;18.94;8000
6;2015;1301;Ryan, Matt;QB;atl;a;nor;18.8;8100
6;2015;1207;Palmer, Carson;QB;ari;a;pit;18.74;8000
6;2015;1410;Tannehill, Ryan;QB;mia;a;ten;18.04;7700
6;2015;1151;Brees, Drew;QB;nor;h;atl;16.68;8300
6;2015;1254;Smith, Alex;QB;kan;a;min;16.28;7000
6;2015;1430;Jones, Landry;QB;pit;h;ari;14.62;0
6;2015;1175;McCown, Josh;QB;cle;h;den;13.72;7000
6;2015;1081;Manning, Peyton;QB;den;a;cle;12.6;8100
6;2015;1344;Bradford, Sam;QB;phi;h;nyg;12.4;7700
6;2015;1439;Bridgewater, Teddy;QB;min;h;kan;11.46;6600
6;2015;1225;Manning, Eli;QB;nyg;a;phi;10.76;7800
6;2015;1415;Cousins, Kirk;QB;was;a;nyj;9.94;6200
6;2015;1466;Mariota, Marcus;QB;ten;h;mia;6.76;7200
6;2015;1155;Vick, Michael;QB;pit;h;ari;4.94;6300
6;2015;1440;Mettenberger, Zach;QB;ten;h;mia;2.92;5600
6;2015;1401;Mallett, Ryan;QB;hou;a;jac;0;6300
6;2015;1227;McCown, Luke;QB;nor;h;atl;0;5800
6;2015;5071;Webb, Joe;QB;car;a;sea;0;4800
6;2015;2930;Freeman, Devonta;RB;atl;a;nor;31.6;8000
6;2015;2741;Ivory, Chris;RB;nyj;h;was;27.1;7300
6;2015;2777;Starks, James;RB;gnb;h;sdg;24.2;5400
6;2015;2721;Blount, LeGarrette;RB;nwe;a;ind;22.9;6500
6;2015;2612;Stewart, Jonathan;RB;car;a;sea;21.1;6100
6;2015;2831;Murray, DeMarco;RB;phi;h;nyg;19.8;7600
6;2015;2696;Foster, Arian;RB;hou;a;jac;19.7;8500
6;2015;2793;Ingram, Mark;RB;nor;h;atl;19.1;7800
6;2015;2859;Miller, Lamar;RB;mia;a;ten;18.8;6400
6;2015;2613;Forte, Matt;RB;chi;a;det;18.4;8400
6;2015;2707;McCoy, LeSean;RB;buf;h;cin;16.4;7000
6;2015;2889;Bernard, Giovani;RB;cin;a;buf;13.8;6700
6;2015;2642;Forsett, Justin;RB;bal;a;sfo;13.6;7600
6;2015;2928;Hill, Jeremy;RB;cin;a;buf;13.4;6400
6;2015;2856;Hillman, Ronnie;RB;den;a;cle;13;6400
6;2015;2552;Lynch, Marshawn;RB;sea;h;car;11.9;8300
6;2015;3953;McCluster, Dexter;RB;ten;h;mia;11.7;5200
6;2015;2834;Miller, Bruce;RB;sfo;h;bal;10.4;4500
6;2015;2467;Gore, Frank;RB;ind;h;nwe;10.4;7000
6;2015;2689;Woodhead, Danny;RB;sdg;a;gnb;9.6;6000
6;2015;2907;Riddick, Theo;RB;det;h;chi;9.3;5000
6;2015;5371;Langford, Jeremy;RB;chi;a;det;9.2;4700
6;2015;2888;Bell, Le'Veon;RB;pit;h;ari;8.8;9000
6;2015;2924;Anderson, C.J.;RB;den;a;cle;8.6;6600
