GID;Pos;Name;Team;Opponent;Home/Away;Salary;Salary Change;Points;GP;Pts/Game;Pts/G/$;Pts/G(alt);Bye week;
2930;RB;Freeman, Devonta;atl;tam;H;9100;400;170.1;7;24.3;2.67;14;10;
1131;QB;Brady, Tom;ne;mia;H;9200;200;157.06;6;26.18;2.85;29.7;4;
1231;QB;Rivers, Philip;sdg;bal;A;8500;500;151.32;7;21.62;2.54;27.44;10;
1207;QB;Palmer, Carson;ari;cle;A;8100;-100;140.68;7;20.1;2.48;19.2;9;
1403;QB;Dalton, Andy;cin;pit;A;8100;8100;139.74;6;23.29;2.88;0;7;
1442;QB;Bortles, Blake;jac;;H;0;-7500;139.08;7;19.87;0;13.98;8;
5206;WR;Hopkins, DeAndre;hou;ten;H;9000;-200;138.6;7;19.8;2.2;8;9;
5089;WR;Jones, Julio;atl;tam;H;9200;100;138;7;19.71;2.14;19.7;10;
1252;QB;Rodgers, Aaron;gb;den;A;9000;9000;133.64;6;22.27;2.47;0;7;
1378;QB;Newton, Cam;car;ind;H;8000;-100;126.5;6;21.08;2.64;16.88;5;
3501;WR;Fitzgerald, Larry;ari;cle;A;7700;-100;119.2;7;17.03;2.21;5.4;9;
1340;QB;Stafford, Matthew;det;kan;A;7500;100;117.74;7;16.82;2.24;18.74;9;
1412;QB;Wilson, Russell;sea;dal;A;7800;-300;116.82;7;16.69;2.14;13.4;9;
5198;WR;Allen, Keenan;sdg;bal;A;8000;-100;116;7;16.57;2.07;13.4;10;
1302;QB;Flacco, Joe;bal;sdg;H;7400;-100;114.68;7;16.38;2.21;15.08;9;
1410;QB;Tannehill, Ryan;mia;ne;A;7700;0;114.52;6;19.09;2.48;27.58;5;
1225;QB;Manning, Eli;nyg;no;A;7300;-500;113.84;7;16.26;2.23;6.4;11;
1301;QB;Ryan, Matt;atl;tam;H;8000;-100;112.98;7;16.14;2.02;11.74;10;
1254;QB;Smith, Alex;kan;det;H;6600;-200;112.36;7;16.05;2.43;14.54;9;
5258;WR;Robinson, Allen;jac;;H;0;-7000;111.6;7;15.94;0;18.8;8;
1415;QB;Cousins, Kirk;was;;H;0;-6300;111.18;7;15.88;0;30.18;8;
1242;QB;Fitzpatrick, Ryan;nyj;oak;A;7400;300;111.08;6;18.51;2.5;20.7;5;
2793;RB;Ingram, Mark;no;nyg;H;8000;400;111;7;15.86;1.98;21.8;11;
1400;QB;Taylor, Tyrod;buf;;H;0;-7400;107.48;5;21.5;0;0;8;
4494;TE;Gronkowski, Rob;ne;mia;H;8400;300;106.3;6;17.72;2.11;22.3;4;
1404;QB;Kaepernick, Colin;sfo;stl;A;6600;-300;105.92;7;15.13;2.29;4.96;10;
3474;WR;Brown, Antonio;pit;cin;H;8400;100;104.7;7;14.96;1.78;16;11;
1409;QB;Luck, Andrew;ind;car;A;8800;-100;103.62;5;20.72;2.36;26.02;10;
1175;QB;McCown, Josh;cle;ari;H;6600;-300;103.24;6;17.21;2.61;8.9;11;
2689;RB;Woodhead, Danny;sdg;bal;A;6100;100;102.5;7;14.64;2.4;27.6;10;
7010;D;Denver;den;gb;H;4700;4700;102;6;17;3.62;0;7;
5173;WR;Benjamin, Travis;cle;ari;H;6300;-300;101;7;14.43;2.29;4.7;11;
1441;QB;Carr, Derek;oak;nyj;H;6800;100;100.6;6;16.77;2.47;23.86;6;
1465;QB;Winston, Jameis;tam;atl;A;6600;100;100.54;6;16.76;2.54;20.38;6;
3826;WR;Edelman, Julian;ne;mia;H;7600;-400;99.1;6;16.52;2.17;7.9;4;
1151;QB;Brees, Drew;no;nyg;H;7900;-500;98.74;6;16.46;2.08;12.8;11;
3627;WR;Marshall, Brandon;nyj;oak;A;8300;100;98.3;6;16.38;1.97;8.7;5;
2613;RB;Forte, Matt;chi;min;H;8200;8200;98.3;6;16.38;2;0;7;
4401;TE;Barnidge, Gary;cle;ari;H;6300;400;97.9;7;13.99;2.22;13.1;11;
1344;QB;Bradford, Sam;phi;;H;0;-7700;97.84;7;13.98;0;7.8;8;
5323;WR;Beckham Jr., Odell;nyg;no;A;8700;-300;97.7;7;13.96;1.6;5.5;11;
3328;WR;Smith, Steve;bal;sdg;H;6700;-200;97.3;6;16.22;2.42;10.3;9;
5151;WR;Hilton, T.Y.;ind;car;A;7700;0;97.1;7;13.87;1.8;29;10;
2858;RB;Martin, Doug;tam;atl;A;7500;300;96;6;16;2.13;18.6;6;
