GID;Pos;Name;Team;Opponent;Home/Away;Salary;Salary Change;Points;GP;Pts/Game;Pts/G/$;Pts/G(alt);Bye week;
1131;QB;Brady, Tom;ne;was;H;9500;300;187.4;7;26.77;2.82;30.34;4;
2930;RB;Freeman, Devonta;atl;sfo;A;8900;-200;186.2;8;23.28;2.62;16.1;10;
1231;QB;Rivers, Philip;sdg;chi;H;8600;100;175.36;8;21.92;2.55;24.04;10;
1207;QB;Palmer, Carson;ari;;H;0;-8100;171.24;8;21.41;0;30.56;9;
5089;WR;Jones, Julio;atl;sfo;A;9200;0;164.2;8;20.53;2.23;26.2;10;
5206;WR;Hopkins, DeAndre;hou;;H;0;-9000;158;8;19.75;0;19.4;9;
1225;QB;Manning, Eli;nyg;tam;A;7800;500;151.84;8;18.98;2.43;38;11;
1403;QB;Dalton, Andy;cin;cle;H;8200;100;151.38;7;21.63;2.64;11.64;7;
1378;QB;Newton, Cam;car;gb;H;7900;-100;145.52;7;20.79;2.63;19.02;5;
1151;QB;Brees, Drew;no;ten;H;8500;600;145.04;7;20.72;2.44;46.3;11;
1254;QB;Smith, Alex;kan;;H;0;-6600;139.96;8;17.5;0;27.6;9;
1252;QB;Rodgers, Aaron;gb;car;A;8900;-100;139.82;7;19.97;2.24;6.18;7;
1442;QB;Bortles, Blake;jac;nyj;A;7600;7600;139.08;7;19.87;2.61;0;8;
1302;QB;Flacco, Joe;bal;;H;0;-7400;137.64;8;17.21;0;22.96;9;
3501;WR;Fitzgerald, Larry;ari;;H;0;-7700;136.1;8;17.01;0;16.9;9;
1301;QB;Ryan, Matt;atl;sfo;A;8000;0;134.06;8;16.76;2.09;21.08;10;
5323;WR;Beckham Jr., Odell;nyg;tam;A;9000;300;132.7;8;16.59;1.84;35;11;
1412;QB;Wilson, Russell;sea;;H;0;-7800;131.42;8;16.43;0;14.6;9;
1441;QB;Carr, Derek;oak;pit;A;7000;200;129.72;7;18.53;2.65;29.12;6;
1340;QB;Stafford, Matthew;det;;H;0;-7500;128.92;8;16.12;0;11.18;9;
5198;WR;Allen, Keenan;sdg;chi;H;7800;-200;128;8;16;2.05;12;10;
4494;TE;Gronkowski, Rob;ne;was;H;8500;100;126.6;7;18.09;2.13;20.3;4;
2793;RB;Ingram, Mark;no;ten;H;7700;-300;124.9;8;15.61;2.03;13.9;11;
1410;QB;Tannehill, Ryan;mia;buf;A;7400;-300;124.42;7;17.77;2.4;9.9;5;
3826;WR;Edelman, Julian;ne;was;H;8000;400;122.7;7;17.53;2.19;23.6;4;
1175;QB;McCown, Josh;cle;cin;A;6500;-100;122.48;7;17.5;2.69;19.24;11;
1409;QB;Luck, Andrew;ind;den;H;8700;-100;121.36;6;20.23;2.32;17.74;10;
1465;QB;Winston, Jameis;tam;nyg;H;6700;100;120.02;7;17.15;2.56;19.48;6;
3474;WR;Brown, Antonio;pit;oak;H;8700;300;118.4;8;14.8;1.7;13.7;11;
1404;QB;Kaepernick, Colin;sfo;atl;H;6500;-100;115.2;8;14.4;2.22;9.28;10;
1242;QB;Fitzpatrick, Ryan;nyj;jac;H;7500;100;114.12;7;16.3;2.17;3.04;5;
3627;WR;Marshall, Brandon;nyj;jac;H;8100;-200;113.6;7;16.23;2;15.3;5;
4401;TE;Barnidge, Gary;cle;cin;A;6600;300;112.7;8;14.09;2.13;14.8;11;
1336;QB;Hoyer, Brian;hou;;H;0;-6900;112.04;6;18.67;0;17.3;9;
5091;WR;Green, A.J.;cin;cle;H;8500;300;111.9;7;15.99;1.88;23.3;7;
5258;WR;Robinson, Allen;jac;nyj;A;7200;7200;111.6;7;15.94;2.21;0;8;
1415;QB;Cousins, Kirk;was;ne;A;6600;6600;111.18;7;15.88;2.41;0;8;
