Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
3;2015;1252;Rodgers, Aaron;QB;gnb;h;kan;34.92;9100
3;2015;1403;Dalton, Andy;QB;cin;a;bal;31.32;7100
3;2015;1378;Newton, Cam;QB;car;h;nor;29.9;7900
3;2015;1400;Taylor, Tyrod;QB;buf;a;mia;24.28;7000
3;2015;1301;Ryan, Matt;QB;atl;a;dal;23.1;8300
3;2015;1131;Brady, Tom;QB;nwe;h;jac;22.72;8700
3;2015;1302;Flacco, Joe;QB;bal;h;cin;21.48;8100
3;2015;1466;Mariota, Marcus;QB;ten;h;ind;20.68;7300
3;2015;1175;McCown, Josh;QB;cle;h;oak;20.64;6000
3;2015;1441;Carr, Derek;QB;oak;a;cle;20.46;6600
3;2015;1254;Smith, Alex;QB;kan;a;gnb;19.9;6500
3;2015;1081;Manning, Peyton;QB;den;a;det;19.86;8200
3;2015;1207;Palmer, Carson;QB;ari;h;sfo;19.54;8100
3;2015;1225;Manning, Eli;QB;nyg;h;was;19.16;8000
3;2015;1410;Tannehill, Ryan;QB;mia;h;buf;18.78;8000
3;2015;1409;Luck, Andrew;QB;ind;a;ten;18.5;9000
3;2015;1242;Fitzpatrick, Ryan;QB;nyj;h;phi;17.62;6800
3;2015;1442;Bortles, Blake;QB;jac;a;nwe;17.38;6700
3;2015;1415;Cousins, Kirk;QB;was;a;nyg;16.64;6200
3;2015;1412;Wilson, Russell;QB;sea;h;chi;16.2;8400
3;2015;1465;Winston, Jameis;QB;tam;a;hou;13.44;6500
3;2015;1401;Mallett, Ryan;QB;hou;h;tam;12.02;6300
3;2015;1227;McCown, Luke;QB;nor;a;car;11.4;5200
3;2015;1340;Stafford, Matthew;QB;det;h;den;11.08;7400
3;2015;1231;Rivers, Philip;QB;sdg;a;min;10.84;7700
3;2015;1404;Kaepernick, Colin;QB;sfo;a;ari;9.28;7900
3;2015;1344;Bradford, Sam;QB;phi;a;nyj;8.52;7200
