Tom Brady,QB,26.77,9500
Devonta Freeman,RB,23.28,8900
Philip Rivers,QB,21.92,8600
Julio Jones,WR,20.53,9200
Eli Manning,QB,18.98,7800
Andy Dalton,QB,21.63,8200
Cam Newton,QB,20.79,7900
Drew Brees,QB,20.72,8500
Aaron Rodgers,QB,19.97,8900
Blake Bortles,QB,19.87,7600
Matt Ryan,QB,16.76,8000
Odell Beckham Jr.,WR,16.59,9000
Derek Carr,QB,18.53,7000
Keenan Allen,WR,16,7800
Rob Gronkowski,TE,18.09,8500
Mark Ingram,RB,15.61,7700
Ryan Tannehill,QB,17.77,7400
Julian Edelman,WR,17.53,8000
Josh McCown,QB,17.5,6500
Andrew Luck,QB,20.23,8700
Jameis Winston,QB,17.15,6700
Antonio Brown,WR,14.8,8700
Colin Kaepernick,QB,14.4,6500
Ryan Fitzpatrick,QB,16.3,7500
Brandon Marshall,WR,16.23,8100
Gary Barnidge,TE,14.09,6600
A.J. Green,WR,15.99,8500
Allen Robinson,WR,15.94,7200
Kirk Cousins,QB,15.88,6600
Denver,D,15.86,5300
Danny Woodhead,RB,13.5,6000
Tyrod Taylor,QB,21.5,7200
Matt Forte,RB,15.31,8000
Travis Benjamin,WR,13.14,6000
Doug Martin,RB,14.9,7100
Demaryius Thomas,WR,14.5,8400
Jarvis Landry,WR,14.47,7000
Jay Cutler,QB,16.83,7100
T.Y. Hilton,WR,12.39,7700
Sam Bradford,QB,13.98,7600
Adrian Peterson,RB,13.93,8400
Chris Ivory,RB,16.18,7500
Dion Lewis,RB,15.82,7400
Allen Hurns,WR,13.54,6800
Lamar Miller,RB,13.51,6900
Tavon Austin,WR,13.51,5700
Emmanuel Sanders,WR,13.27,7600
Greg Olsen,TE,13.19,6400
Amari Cooper,WR,13.13,7300
Brandin Cooks,WR,11.43,7100
Peyton Manning,QB,13.02,7700
Stephen Gostkowski,K,13,5200
Rishard Matthews,WR,12.93,6500
Tyler Eifert,TE,12.87,5800
Teddy Bridgewater,QB,12.81,6700
James Jones,WR,12.8,6000
Latavius Murray,RB,12.77,7000
Donte Moncrief,WR,10.99,6400
Todd Gurley,RB,17.46,9000
Frank Gore,RB,10.84,6700
Willie Snead,WR,10.83,6100
Michael Crabtree,WR,12.33,5800
St. Louis,D,12.29,5100
Brandon McManus,K,11.86,5000
Eric Decker,WR,13.72,6300
Ben Watson,TE,10.28,5700
Randall Cobb,WR,11.7,7400
Nick Foles,QB,11.6,6300
